Date,Confirmed cases,New cases,Total deaths,New deaths
03-11,104,13 (+14%),7,4 (+133%)
03-12,136,32 (+31%),9,2 (+29%)
03-13,167,31 (+23%),15,6 (+67%)
03-14,313,146 (+87%),27,12 (+80%)
03-15,407,94 (+30%),36,9 (+33%)
03-16,480,73 (+18%),51,15 (+42%)
03-17,621,141 (+29%),70,19 (+37%)
03-18,953,332 (+53%),94,24 (+34%)
03-19,"1,221",268 (+28%),111,17 (+18%)
03-20,"1,588",367 (+30%),152,41 (+37%)
03-21,"1,965",377 (+24%),197,45 (+30%)
03-22,"2,189",224 (+11%),235,38 (+19%)
03-23,"2,433",244 (+11%),265,30 (+13%)
03-24,"2,872",439 (+18%),313,48 (+18%)
03-25,"3,247",375 (+13%),390,77 (+25%)
03-26,"3,919",672 (+21%),500,110 (+28%)
03-27,"4,637",718 (+18%),610,110 (+22%)
03-28,"5,299",662 (+14%),717,107 (+18%)
03-29,"5,957",658 (+12%),884,167 (+23%)
03-30,"6,521",564 (+9%),1038,154 (+17%)
03-31,"7,121",600 (+9%),1129,91 (+9%)
04-01,"8,341","1,220 (+17%)",1291,162 (+14%)
04-02,"9,291",950 (+11%),1452,161 (+12%)
04-03,"10,247",956 (+10%),1579,127 (+9%)
04-04,"10,764",517 (+5%),1753,174 (+11%)
04-05,"11,978","1,214 (+11%)",1882,129 (+7%)
04-06,"12,636",658 (+5%),2106,224 (+12%)
04-07,"13,378",742 (+6%),2307,201 (+10%)
04-08,"14,355",977 (+7%),2520,213 (+9%)
04-09,"15,271",916 (+6%),2769,249 (+10%)
04-10,"16,011",740 (+5%),2977,208 (+8%)
04-11,"16,721",710 (+4%),3107,130 (+4%)
04-12,"17,479",758 (+5%),3265,158 (+5%)
04-13,"18,000",521 (+3%),,
04-14,"18,472",472 (+3%),,
04-15,"18,951",479 (+3%),,
04-16,"19,511",560 (+3%),,
04-17,"20,215",704 (+4%),,
04-18,"20,904",689 (+3%),,
04-19,"21,357",453 (+2%),3825,82
04-20,"21,654",297 (+1%),3906,81
04-21,"22,072",418 (+2%),4038,132
04-22,"22,352",280 (+1%),4211,173
04-23,"22,767",415 (+2%),,
04-24,"23,063",296 (+1%),,
04-25,"23,341",278 (+1%),,
04-26,"23,608",267 (+1%),,
04-27,"23,833",225 (+1%),,
04-28,"23,979",146 (+1%),,
04-29,"24,090",111 (+0.5%),,
04-30,"24,297",207 (+0.9%),,
05-01,"24,477",180 (+0.7%),,
05-02,"24,700",223 (+0.9%),,
05-03,"24,828",128 (+0.5%),,
05-04,"24,988",160 (+0.6%),,
05-05,"25,240",252 (+1%),,
05-06,"25,357",117 (+0.5%),,
05-07,"25,499",142 (+0.6%),,
05-08,"25,623",124 (+0.5%),,
05-09,"25,734",111 (+0.4%),,
05-10,"25,829",95 (+0.4%),,
05-11,"25,891",62 (+0.2%),,
05-12,"25,980",89 (+0.3%),,
05-13,"26,024",44 (+0.2%),,
05-14,"26,113",89 (+0.3%),,
05-15,"26,193",80 (+0.3%),,
05-16,"26,359",166 (+0.6%),,
05-17,"26,440",81 (+0.3%),,
05-18,"26,487",47 (+0.2%),,
05-19,"26,529",42 (+0.2%),,
05-20,"26,579",50 (+0.2%),,
05-21,"26,628",49 (+0.2%),,
05-22,"26,683",55 (+0.2%),,
05-23,"26,742",59 (+0.2%),,
05-24,"26,780",38 (+0.1%),,
05-25,"26,818",38 (+0.1%),,
05-26,"26,840",22 (+0.08%),,
05-27,"26,867",27 (+0.1%),,
05-28,"26,883",16 (+0.06%),,
05-29,"26,913",30 (+0.11%),,
